id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
1054707,https://4lapy.ru//catalog/koshki/korm-koshki/korm-suhoy-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy-i-lososem.html?offer=148706,"Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 1,5 кг",1499,not_pomo_price,Mealfeel
1050318,https://4lapy.ru//catalog/koshki/korm-koshki/farmina-n-d-oushen-ket-seld-i-apelsin-dlya-sterilizovannyh-koshek-i-kastrirovannyh-kotov-300g.html?offer=137187,"OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 1,5кг",2915,not_pomo_price,Farmina
1000889,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Instinctive_pauch_dlya_vzroslyh_koshek_85_g_1000889.html?offer=41610,"Instinctive кусочки в соусе для кошек старше 1 года, 85 г",89,not_pomo_price,Royal Canin
1009212,https://4lapy.ru//catalog/koshki/korm-koshki/Mealfeel_pauch_dlya_sterilizovannyh_koshek_dlya_kontrolya_vesa_kusochki_s_govyadinoy_v_souse_100_g_1009212.html?offer=43457,"Functional Nutrition Sterilized Light Влажный корм (пауч) для стерилизованных кошек Контроль веса, с кусочками говядины в соусе, 100 гр.",89,not_pomo_price,Mealfeel
1039532,https://4lapy.ru//catalog/koshki/korm-koshki/korm-dlya-sterilizovannyh-koshek-s-kuricey.html?offer=111434,"Superpremium Cat Sterilized корм для стерилизованных кошек с курицей, 10кг",8635,not_pomo_price,Monge
1051857,https://4lapy.ru//catalog/koshki/korm-koshki/konservirovannyy-korm-dlya-vzroslykh-koshek-file-tuntsa-s-toppingom-iz-lososya.html?offer=140671,"Влажный корм (консервы) для взрослых кошек, филе тунца с топпингом из лосося, 80 гр.",155,not_pomo_price,Grandin
1040169,https://4lapy.ru//catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-krolik-s-risom-400g.html?offer=112520,"Сухой корм для стерилизованных кошек, кролик с индейкой, 2кг",2365,not_pomo_price,Grandorf
1001925,https://4lapy.ru//catalog/koshki/korm-koshki/Purina_Veterinary_Diets_CN_konservirovannyy_korm_dlya_koshek_i_sobak_reabilitatsiya_bn__195g_1001925.html?offer=42510,"Veterinary Diets CN Convalescence влажный корм для всех возрастов при выздоровлении, паштет, 195 г",269,not_pomo_price,Purina
1000111,https://4lapy.ru//catalog/koshki/korm-koshki/Hills_suhoy_korm_dlya_kastrirovannyh_kotov_6_mes_6et.html?offer=46720,"Science Plan Sterilised Cat сухой корм для кошек и котят, с курицей, 1,5кг",1699,not_pomo_price,Hill's
1040785,https://4lapy.ru//catalog/koshki/korm-koshki/prime-korm-dlya-kotyat-bezzernovoy.html?offer=113387,"Kitten Prime Корм сухой беззерновой для котят, с мясом цыплёнка и индейки, 1 кг",1529,not_pomo_price,Ownat
1009312,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_HouseCat_konservirovannyy_korm_dlya_koshek_s_lososem_pak__85g_1009312.html?offer=41598,"Nutri Savour влажный корм для взрослых кошек, живущих дома, с лососем в соусе, 85 г",87,not_pomo_price,Pro Plan ®
1037289,https://4lapy.ru//catalog/koshki/korm-koshki/korm-vlazhnyy-dlya-koshek-sensitiviti-kontrol-cyplenok-ris.html?offer=104733,"Корм влажный для кошек Сенситивити Контроль цыпленок, рис, 85 г",145,not_pomo_price,Royal Canin
1009211,https://4lapy.ru//catalog/koshki/korm-koshki/Mealfeel_pauch_dlya_sterilizovannyh_koshek_dlya_kontrolya_vesa_kusochki_kuritsy_v_souse_100_g_1009211.html?offer=43455,"Functional Nutrition Sterilized Light Влажный корм (пауч) для стерилизованных кошек Контроль веса, с кусочками курицы в соусе, 100 гр.",89,not_pomo_price,Mealfeel
1035883,https://4lapy.ru//catalog/koshki/korm-koshki/pauchi-dlya-kotyat-norvezhskiy-losos.html?offer=102792,"Cat Grill Pouch влажный корм для котят, вкус норвежский лосось, 85г",113,not_pomo_price,Monge
1040171,https://4lapy.ru//catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-domashnih-koshek-belaya-ryba-s-burym-risom-400g.html?offer=112523,"Сухой корм для домашних кошек, белая рыба с индейкой, 2 кг",2365,not_pomo_price,Grandorf
1002589,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Kitten_36_suhoy_korm_dlya_kotyat_vozrast_do_12_mes_i_beremennyh_koshek.html?offer=41926,"Kitten 36 корм для котят в возрасте от 4 до 12 мес, 2 кг",2119,not_pomo_price,Royal Canin
